Task ID,Phase,Component,Path,Family,Owner,Status,Priority,Target Sprint,Dark Mode,Remove Material UI,Update Download Button,Icon Cleanup,Scoped CSS Variables,Font Size Fix (rem),Notes
1,0 - Foundation,Overhaul UI Atoms Library,app/ui/atoms/ + app/ui/compounds/,cross-cutting,Both,To Do,High,TBD,Yes,Yes,Yes,N/A,Yes,Yes,"Overhaul button, badge, pagination, table-cell, data-table, filter-bar BEFORE migrating other components"
2,0 - Foundation,Consolidate .ask-ivan-btn,11 component CSS files to shared global style,cross-cutting,First-need,To Do,High,TBD,N/A,N/A,N/A,N/A,N/A,N/A,Duplicated in 11 CSS files - extract to shared utility class in ui.css or global stylesheet
3,0 - Foundation,Remove All Font Awesome Icons,"app/cms (dead), app/issue-reporting, app.component",cross-cutting,Both,To Do,High,TBD,N/A,N/A,N/A,Yes,N/A,N/A,"Replace all fa fa-* icons (download, refresh, times, search, pencil, check, cloud-upload, etc.) with Phosphor equivalents"
4,0 - Foundation,Remove All Emoji Icons,"esp-home, ait, gl-posting, invoicing, operations-controls, order-management, custom-revenue, wd0-historical-data, o2c-360",cross-cutting,Both,To Do,High,TBD,N/A,N/A,N/A,Yes,N/A,N/A,"Remove search icon up triangle down triangle up arrow down arrow warning icon - replace with Phosphor icons (e.g. phosphorMagnifyingGlassBold, phosphorCaretUpBold, phosphorWarningBold)"
5,0 - Foundation,Standardize Download Button Icon,All components with export/download,cross-cutting,Both,To Do,High,TBD,N/A,N/A,Yes,Yes,N/A,N/A,"Register phosphorArrowLineDownBold in app.component.ts. Replace SVG .download-icon, FA fa-download, and all other download icon variants"
6,1 - Done,Admin,app/admin/,admin,N/A,Done,N/A,N/A,Done,N/A,N/A,N/A,Done,Done,Reference implementation - no work needed
7,1 - Done,Analytics Dashboard,app/analytics-dashboard/,analytics,N/A,Done,N/A,N/A,Done,N/A,N/A,N/A,Done,Done,Reference implementation - no work needed
8,1 - Done,Self-Healing,app/self-healing/,self-healing,N/A,Done,N/A,N/A,Done,N/A,N/A,N/A,Done,Done,"Reference implementation - extensive :host(.dark-theme) with 50+ rules, Chart.js charts"
9,1 - Done,Operations Dashboard (home),app/home/,home,N/A,Done,N/A,N/A,Done,N/A,N/A,N/A,Done,Done,"Reference implementation - uses design tokens throughout, Chart.js"
10,1 - Done,Home Page (landing),app/landing/,landing,N/A,Done,N/A,N/A,Done,N/A,N/A,N/A,Done,Done,Reference implementation
